,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
11743,2019-10-01 05:55:56 UTC,view,5657302,1.48758E+18,,bodyton,15.87,482090850,2086583b-30a0-4534-839c-cea70fdab732
11744,2019-10-01 05:55:56 UTC,view,5858220,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11745,2019-10-01 05:55:57 UTC,remove_from_cart,5723494,1.48758E+18,,runail,2.62,555192279,43d7dc57-99f6-4e3e-a6ec-f4490f2db3e1
11746,2019-10-01 05:55:57 UTC,cart,5835151,1.48758E+18,,oniq,10.79,415770511,139ceca4-a9f0-43a2-a6a2-4733a3294d26
11747,2019-10-01 05:55:59 UTC,view,5869148,1.784E+18,,cosmoprofi,7.94,553016687,015d2c58-467b-4bfa-8dd2-036e951fdf90
11748,2019-10-01 05:56:00 UTC,view,5869343,1.784E+18,,levrana,7.22,550766594,bc6ca8e2-36d4-403e-88ef-1ae861fe5812
11749,2019-10-01 05:56:00 UTC,view,5696315,1.48758E+18,,estel,5.4,541350268,8b7bfe52-6834-d2cd-ddc9-77405eb81837
11750,2019-10-01 05:56:01 UTC,view,5813833,1.48758E+18,,,3.79,498249982,fdc257f2-b7ca-4ab2-bffd-272767f4cdba
11751,2019-10-01 05:56:01 UTC,cart,5820746,1.48758E+18,,,2.22,231105826,a64bb2cf-b346-07e3-32f4-cc5f4d4775b1
11752,2019-10-01 05:56:02 UTC,view,5677451,1.48758E+18,,estel,7.78,522094803,acaa066e-24a2-41f0-ae98-56ea3f6a3d8b
11753,2019-10-01 05:56:02 UTC,view,5752744,1.48758E+18,,milv,3.17,494867012,0b4f3fde-b73d-a3da-2a98-8940b3b86790
11754,2019-10-01 05:56:03 UTC,remove_from_cart,5759488,1.48758E+18,,italwax,5.4,486637085,205bec28-f4a8-4c83-a239-ad4061d9ec1e
11755,2019-10-01 05:56:03 UTC,view,5773331,1.48758E+18,,runail,2.62,555192279,43d7dc57-99f6-4e3e-a6ec-f4490f2db3e1
11756,2019-10-01 05:56:04 UTC,view,5862320,1.48758E+18,,freedecor,0.79,423875527,6e709caf-ed17-4506-af42-1871cb3de658
11757,2019-10-01 05:56:04 UTC,view,5727536,1.48758E+18,,,2.7,368752740,c7183c11-6b0b-4cf6-88ec-728778e5cb9d
11758,2019-10-01 05:56:05 UTC,view,5802538,1.52673E+18,,,7.14,543389709,f2102711-7eba-4201-aeef-545c45d313ea
11759,2019-10-01 05:56:06 UTC,cart,5700095,1.784E+18,,,14.13,505621944,c230fad3-eff3-4dcf-82c2-892a110d9aff
11760,2019-10-01 05:56:07 UTC,view,5806545,1.48758E+18,,,13.33,525434672,b267366d-d6e3-4f00-9a81-a19e12332364
11761,2019-10-01 05:56:08 UTC,view,5856191,1.48758E+18,appliances.environment.vacuum,runail,24.44,483697127,43b20242-a5a7-4609-b26f-06ac942fbffb
11762,2019-10-01 05:56:10 UTC,cart,5620924,1.48758E+18,,,6.65,258322598,0661290b-b571-48ca-86cb-70f2b64cc28c
11763,2019-10-01 05:56:10 UTC,cart,5869347,1.48758E+18,,bluesky,3.97,467346745,0e517413-2084-4364-90c4-3baf9baeee62
11764,2019-10-01 05:56:10 UTC,view,5858219,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11765,2019-10-01 05:56:11 UTC,view,5882753,1.48758E+18,,runail,3.17,535743659,c72ab02e-87e2-453e-bed3-3a4a21894f78
11766,2019-10-01 05:56:11 UTC,remove_from_cart,5869148,1.784E+18,,cosmoprofi,7.94,553016687,015d2c58-467b-4bfa-8dd2-036e951fdf90
11767,2019-10-01 05:56:12 UTC,cart,5843545,1.48758E+18,,,3.97,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11768,2019-10-01 05:56:16 UTC,remove_from_cart,5758032,1.48758E+18,,,55.56,555498930,a5b9619f-ca96-470f-a0c4-c125f7be6bf0
11769,2019-10-01 05:56:16 UTC,remove_from_cart,5758032,1.48758E+18,,,55.56,555498930,a5b9619f-ca96-470f-a0c4-c125f7be6bf0
11770,2019-10-01 05:56:17 UTC,view,5808492,1.48758E+18,,irisk,51.51,409095331,0df99e66-2c9b-4150-aeb5-7ab829b6ad19
11771,2019-10-01 05:56:17 UTC,remove_from_cart,5749198,1.48758E+18,stationery.cartrige,italwax,1.98,486637085,205bec28-f4a8-4c83-a239-ad4061d9ec1e
11772,2019-10-01 05:56:18 UTC,cart,5797965,1.48758E+18,,masura,1.73,555501532,516e1d20-55ce-4040-ac83-860a9828ba90
11773,2019-10-01 05:56:19 UTC,cart,5820749,1.48758E+18,,,7.14,501183760,844d8b4f-a5b6-40d2-99c4-49374704a842
11774,2019-10-01 05:56:19 UTC,remove_from_cart,5856186,1.48758E+18,,runail,75.4,555498930,a5b9619f-ca96-470f-a0c4-c125f7be6bf0
